Image Name,PCA 1_orig,Cluster_orig,Image Path_orig,img_path_orig,PCA 1_mask,Cluster_mask,Image Path_mask,img_path_mask,Combined Cluster,Combined Cluster Label,Missing Teeth Ratio,Darkness Ratio,Missing Teeth Ratio (Norm),Darkness Ratio (Norm)
0301_jpg.rf.8d6fe01f54892d0932bbfb7a7c80aff5.jpg,0.00651143,2,/Volumes/L/L_PHAS0077/assets/source_img/0301_jpg.rf.8d6fe01f54892d0932bbfb7a7c80aff5.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0301_jpg.rf.8d6fe01f54892d0932bbfb7a7c80aff5.jpg,-0.005830207,0,/Volumes/L/L_PHAS0077/assets/output_images_mask/0301_jpg.rf.8d6fe01f54892d0932bbfb7a7c80aff5.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0301_jpg.rf.8d6fe01f54892d0932bbfb7a7c80aff5.jpg,0,Cluster 0,0.85699462890625,0.1309814453125,0.5362111292962357,0.31309178833127227
0301_jpg.rf.c6352591bd1959de9ed6f9927356ce63.jpg,0.006523929,2,/Volumes/L/L_PHAS0077/assets/source_img/0301_jpg.rf.c6352591bd1959de9ed6f9927356ce63.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0301_jpg.rf.c6352591bd1959de9ed6f9927356ce63.jpg,-0.00808617,0,/Volumes/L/L_PHAS0077/assets/output_images_mask/0301_jpg.rf.c6352591bd1959de9ed6f9927356ce63.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0301_jpg.rf.c6352591bd1959de9ed6f9927356ce63.jpg,0,Cluster 0,0.86346435546875,0.130950927734375,0.5578968903436988,0.3130179589877997
0301_jpg.rf.df03dfd545d23f6b819da2e20d5bef58.jpg,0.006523929,2,/Volumes/L/L_PHAS0077/assets/source_img/0301_jpg.rf.df03dfd545d23f6b819da2e20d5bef58.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0301_jpg.rf.df03dfd545d23f6b819da2e20d5bef58.jpg,0.0018904785,0,/Volumes/L/L_PHAS0077/assets/output_images_mask/0301_jpg.rf.df03dfd545d23f6b819da2e20d5bef58.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0301_jpg.rf.df03dfd545d23f6b819da2e20d5bef58.jpg,0,Cluster 0,0.855224609375,0.130950927734375,0.530278232405892,0.3130179589877997
0303_jpg.rf.86a2c2655263e700a2dfc961c4c659ca.jpg,0.073080465,4,/Volumes/L/L_PHAS0077/assets/source_img/0303_jpg.rf.86a2c2655263e700a2dfc961c4c659ca.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0303_jpg.rf.86a2c2655263e700a2dfc961c4c659ca.jpg,-0.0053428975,0,/Volumes/L/L_PHAS0077/assets/output_images_mask/0303_jpg.rf.86a2c2655263e700a2dfc961c4c659ca.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0303_jpg.rf.86a2c2655263e700a2dfc961c4c659ca.jpg,1,Cluster 1,0.869140625,0.1400909423828125,0.5769230769230769,0.33512984735783236
0303_jpg.rf.e599e719683faedca7bb627ce43fcf80.jpg,0.0730566,4,/Volumes/L/L_PHAS0077/assets/source_img/0303_jpg.rf.e599e719683faedca7bb627ce43fcf80.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0303_jpg.rf.e599e719683faedca7bb627ce43fcf80.jpg,-0.010416783,3,/Volumes/L/L_PHAS0077/assets/output_images_mask/0303_jpg.rf.e599e719683faedca7bb627ce43fcf80.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0303_jpg.rf.e599e719683faedca7bb627ce43fcf80.jpg,1,Cluster 1,0.875,0.14008331298828125,0.5965630114566285,0.3351113900219642
0303_jpg.rf.f46c570389da9111d7a0ada3689f0a06.jpg,0.073080465,4,/Volumes/L/L_PHAS0077/assets/source_img/0303_jpg.rf.f46c570389da9111d7a0ada3689f0a06.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0303_jpg.rf.f46c570389da9111d7a0ada3689f0a06.jpg,-0.021518113,3,/Volumes/L/L_PHAS0077/assets/output_images_mask/0303_jpg.rf.f46c570389da9111d7a0ada3689f0a06.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0303_jpg.rf.f46c570389da9111d7a0ada3689f0a06.jpg,1,Cluster 1,0.88092041015625,0.1400909423828125,0.6164075286415712,0.33512984735783236
0304_jpg.rf.14efc61a51aa5003113f27d4c74e0d80.jpg,-0.05946952,0,/Volumes/L/L_PHAS0077/assets/source_img/0304_jpg.rf.14efc61a51aa5003113f27d4c74e0d80.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0304_jpg.rf.14efc61a51aa5003113f27d4c74e0d80.jpg,0.0016080253,0,/Volumes/L/L_PHAS0077/assets/output_images_mask/0304_jpg.rf.14efc61a51aa5003113f27d4c74e0d80.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0304_jpg.rf.14efc61a51aa5003113f27d4c74e0d80.jpg,0,Cluster 0,0.856201171875,0.03853607177734375,0.5335515548281505,0.08944424961701028
0304_jpg.rf.4d4e47e46979e47028a60557236ba1cc.jpg,-0.059424955,0,/Volumes/L/L_PHAS0077/assets/source_img/0304_jpg.rf.4d4e47e46979e47028a60557236ba1cc.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0304_jpg.rf.4d4e47e46979e47028a60557236ba1cc.jpg,-2.3251265e-05,0,/Volumes/L/L_PHAS0077/assets/output_images_mask/0304_jpg.rf.4d4e47e46979e47028a60557236ba1cc.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0304_jpg.rf.4d4e47e46979e47028a60557236ba1cc.jpg,0,Cluster 0,0.857666015625,0.03853607177734375,0.5384615384615384,0.08944424961701028
0304_jpg.rf.51e742ef19f59d10815c7375c8fbdb3a.jpg,-0.059424955,0,/Volumes/L/L_PHAS0077/assets/source_img/0304_jpg.rf.51e742ef19f59d10815c7375c8fbdb3a.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0304_jpg.rf.51e742ef19f59d10815c7375c8fbdb3a.jpg,-0.014976432,3,/Volumes/L/L_PHAS0077/assets/output_images_mask/0304_jpg.rf.51e742ef19f59d10815c7375c8fbdb3a.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0304_jpg.rf.51e742ef19f59d10815c7375c8fbdb3a.jpg,0,Cluster 0,0.865966796875,0.03853607177734375,0.5662847790507365,0.08944424961701028
0305_jpg.rf.36d82670c3421c0004a468fe4047f470.jpg,0.12444885,4,/Volumes/L/L_PHAS0077/assets/source_img/0305_jpg.rf.36d82670c3421c0004a468fe4047f470.jpg,/Volumes/L/L_PHAS0077/assets/source_img/0305_jpg.rf.36d82670c3421c0004a468fe4047f470.jpg,-0.0021306705,0,/Volumes/L/L_PHAS0077/assets/output_images_mask/0305_jpg.rf.36d82670c3421c0004a468fe4047f470.jpg,/Volumes/L/L_PHAS0077/assets/output_images_mask/0305_jpg.rf.36d82670c3421c0004a468fe4047f470.jpg,1,Cluster 1,0.85699462890625,0.1378326416015625,0.5362111292962357,0.3296664759408627
