class,case,img,idx,conf,occ_hf,occ_cv,lime_hf,lime_cv,rise_hf,rise_cv
Cavity,FP,0951_jpg.rf.b7eddad480bcff935bddbf1e63bbc420.jpg,33,0.3824701905250549,0.2223493516399695,0.3655172413793103,0.1886370890520268,0.3705329153605016,0.9192073170731708,0.3780564263322884
Cavity,FP,0997_jpg.rf.0b8eb321c8d305e59a0fee63c5d88097.jpg,34,0.6017791032791138,0.2643020594965675,0.99,0.1835375599360681,0.9842857142857144,0.2469512195121951,0.2314285714285714
Cavity,FP,0997_jpg.rf.0b8eb321c8d305e59a0fee63c5d88097.jpg,35,0.3073528409004211,0.2151029748283753,0.7230769230769231,0.0,0.0,0.3170731707317073,0.2666666666666666
Cavity,FN,0073_jpg.rf.0a3fc448611ebb614d068de0e7bf25a6.jpg,1,0.0,0.3798627002288329,0.7083926031294452,0.2848067760719958,0.3826458036984352,0.0,0.0
Cavity,FN,0249_jpg.rf.5b54abe672fb6b47fa1399636d0d6aa0.jpg,2,0.0,0.0007613877118644,0.0851063829787234,0.0082473754882812,1.0,0.6367781155015197,0.3876040703052729
Cavity,FN,0463_jpg.rf.adc570a9de38c884cdf7820e5420b0e4.jpg,3,0.0,0.1636155606407322,0.932608695652174,0.0,0.0,0.1859756097560975,0.2652173913043478
Cavity,FN,0511_jpg.rf.b1326c3c6b6a7912bf59256595ad5ab6.jpg,4,0.0,0.0032424926757812,1.0,0.0813232253618194,0.2776470588235294,0.0032424926757812,1.0
Cavity,FN,0511_jpg.rf.b1326c3c6b6a7912bf59256595ad5ab6.jpg,5,0.0,0.00421142578125,1.0,0.00421142578125,1.0,0.00421142578125,1.0
Cavity,FN,0536_jpg.rf.3a7e13dd78ae4edccebbd4f97dc8271e.jpg,6,0.0,0.177345537757437,0.58125,0.006103515625,1.0,0.375,0.3075
Cavity,FN,0539_jpg.rf.725214aa91d5166e4c1e04b15ab0e745.jpg,7,0.0,0.2948131197559115,0.4015584415584415,0.5908558030480656,0.5236363636363637,0.8521341463414634,0.2903896103896103
Cavity,FN,0547_jpg.rf.95af1dd5d044f04771bf3467c2204012.jpg,8,0.0,0.0007747933884297,0.1538461538461538,0.0047607421875,1.0,0.5426829268292683,0.5705128205128205
Cavity,FN,0617_jpg.rf.bbcd86b6387215a385318b45c70b271c.jpg,9,0.0,0.00096875,0.2520325203252032,0.003753662109375,1.0,0.2698170731707317,0.3597560975609756
Cavity,FN,0617_jpg.rf.bbcd86b6387215a385318b45c70b271c.jpg,10,0.0,0.0024913877952755,0.8181818181818182,0.0116984402079722,0.0681818181818181,0.0,0.0
Cavity,FN,0624_jpg.rf.0ace2f1bc57e59ef2c1374d51cd5513e.jpg,11,0.0,0.4092295957284516,0.5474489795918367,0.01495361328125,1.0,0.0579268292682926,0.0193877551020408
Cavity,FN,0650_jpg.rf.bbef60fb0c8590801e7d18f0eaaa6261.jpg,12,0.0,0.3901601830663616,0.9980487804878048,0.3574572127139364,0.713170731707317,0.3237518910741301,0.208780487804878
Cavity,FN,0659_jpg.rf.59a1f87ff544c2c3a993523a46304364.jpg,13,0.0,0.003173828125,1.0,0.1860465116279069,0.7307692307692307,0.6082317073170732,0.9591346153846154
Cavity,FN,0759_jpg.rf.e2bebe26c061f46f9f44e213cb5b4814.jpg,14,0.0,0.0,0.0,0.0095367431640625,1.0,0.6265243902439024,0.3288
Cavity,FN,0759_jpg.rf.e2bebe26c061f46f9f44e213cb5b4814.jpg,15,0.0,0.0044777054108216,0.4150943396226415,0.0,0.0,0.6128048780487805,0.2917271407837445
Cavity,FN,0897_jpg.rf.22b238dcd924aa968ceb27dd30ed456e.jpg,16,0.0,0.0033714657738095,0.2727272727272727,0.0121688842773437,1.0,0.4131097560975609,0.1699059561128526
Cavity,FN,0985_jpg.rf.2031b8f3a0c8c59ce626d7cc1a73c69e.jpg,17,0.0,0.13348588863463,0.9722222222222222,0.00274658203125,1.0,0.3048780487804878,0.5555555555555556
Impacted Tooth,TP,0041_jpg.rf.45bc3049f99113cefd018e407df2415f.jpg,1,0.8783773183822632,0.3607932875667429,0.9384920634920636,0.3514666666666666,0.6537698412698413,0.8810975609756098,0.5734126984126984
Impacted Tooth,TP,0068_jpg.rf.8d1f95a7bd401655c7768b48eb35add5.jpg,2,0.6985872983932495,0.2574370709382151,1.0,0.0062006764374295,0.0162962962962962,0.7759146341463414,0.7540740740740741
Impacted Tooth,TP,0092_jpg.rf.922f6021eb8dd014c8924dea310fb7eb.jpg,3,0.8965663909912109,0.2955758962623951,1.0,0.2769607843137255,0.8748387096774194,0.8490853658536586,0.7187096774193549
Impacted Tooth,TP,0092_jpg.rf.922f6021eb8dd014c8924dea310fb7eb.jpg,4,0.8502972722053528,0.3108314263920671,0.9055555555555556,0.3551151580074986,0.7366666666666667,0.8902439024390244,0.6488888888888888
Impacted Tooth,TP,0111_jpg.rf.191a24265bb5b8fbce3ba012a675cf80.jpg,5,0.7767692804336548,0.4405034324942792,1.0,0.4044025157232704,0.5567099567099567,0.8353658536585366,0.4744588744588744
Impacted Tooth,TP,0124_jpg.rf.ece9ebf3c8fe851458a4d443ce47555f.jpg,6,0.8769596219062805,0.7143401983218917,0.905705996131528,0.6222943722943723,0.5560928433268859,0.9634146341463414,0.3056092843326886
Impacted Tooth,TP,0124_jpg.rf.ece9ebf3c8fe851458a4d443ce47555f.jpg,7,0.8535050749778748,0.3676582761250953,0.6028767979987493,0.410632911392405,0.5071919949968731,0.9344512195121952,0.383364602876798
